kind,day,position_id,symbol,side,open_time,close_time,volume,closed_volume,avg_entry,avg_exit,closed_pnl,commission,swap,deal_count,magic_values,comments,tickets
BOT,2026-06-25,19567722,XAUUSD,SELL,2026-06-25 15:48:01,2026-06-25 16:01:35,0.01,0.01,4014.32,4026.71,-12.39,0.0,0.0,2,88001,GOLD_PRO_TP1 | [sl 4026.96],"17323146,17323309"
BOT,2026-06-25,19567724,XAUUSD,SELL,2026-06-25 15:48:02,2026-06-25 16:01:35,0.01,0.01,4014.2,4026.71,-12.51,0.0,0.0,2,88001,GOLD_PRO_TP2 | [sl 4026.96],"17323148,17323310"
BOT,2026-06-25,19567725,XAUUSD,SELL,2026-06-25 15:48:02,2026-06-25 16:01:35,0.01,0.01,4013.59,4026.71,-13.12,0.0,0.0,2,88001,GOLD_PRO_TP3 | [sl 4026.96],"17323149,17323311"
MANUAL,2026-06-25,19567892,XAUUSD,SELL,2026-06-25 16:01:43,2026-06-25 16:55:59,0.05,0.05,4027.76,4004.47,116.45,0.0,0.0,2,0,,"17323316,17324270"
BOT,2026-06-25,19568611,XAUUSD,SELL,2026-06-25 16:44:55,2026-06-25 16:45:05,0.02,0.02,4011.76,4013.49,-3.46,0.0,0.0,2,88001,GOLD_PRO_TP1 | [sl 4013.14],"17324036,17324041"
BOT,2026-06-25,19568612,XAUUSD,SELL,2026-06-25 16:44:55,2026-06-25 16:45:05,0.01,0.01,4011.78,4013.49,-1.71,0.0,0.0,2,88001,GOLD_PRO_TP2 | [sl 4013.14],"17324037,17324042"
BOT,2026-06-25,19568613,XAUUSD,SELL,2026-06-25 16:44:56,2026-06-25 16:45:05,0.01,0.01,4011.73,4013.49,-1.76,0.0,0.0,2,88001,GOLD_PRO_TP3 | [sl 4013.14],"17324038,17324043"
MANUAL,2026-06-25,19568934,XAUUSD,SELL,2026-06-25 17:00:19,2026-06-25 18:12:01,0.05,0.05,4005.25,4008.37,-15.6,0.0,0.0,2,0,,"17324361,17325266"
MANUAL,2026-06-25,19569034,XAUUSD,SELL,2026-06-25 17:03:11,2026-06-25 18:12:01,0.05,0.05,4009.58,4008.37,6.05,0.0,0.0,2,0,,"17324460,17325267"
MANUAL,2026-06-25,19569062,XAUUSD,SELL,2026-06-25 17:03:45,2026-06-25 17:37:36,0.05,0.05,4017.94,4017.21,3.65,0.0,0.0,2,0,,"17324490,17325084"
